;
08:10 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:10:1
Orzeszkowej;8:11:52
Stradom;8:12:54
Wawel;8:14:42
Świętej Gertrudy;8:17:24
Plac Wszystkich Świętych;8:18:57
Filharmonia;8:20:21
Teatr Bagatela;8:24:47
Basztowa LOT;8:27:20
Pędzichów;8:29:9
Nowy Kleparz;8:30:50
Dworzec Towarowy;8:32:54
;
08:14 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:14:1
Stradom;8:15:13
Wawel;8:19:34
Świętej Gertrudy;8:21:9
Plac Wszystkich Świętych;8:22:46
Filharmonia;8:24:0
Teatr Bagatela;8:27:43
Batorego;8:30:7
Plac Inwalidów;8:31:15
Urzędnicza;8:33:14
;
08:24 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:24:27
Dworzec Główny;8:27:0
Dworzec Główny Zachód;8:29:44
Politechnika;8:31:6
Dworzec Towarowy;8:33:37
;
08:13 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:13:1
Orzeszkowej;8:14:52
Stradom;8:15:54
Starowiślna;8:21:6
Poczta Główna;8:23:2
Dworzec Główny;8:25:31
Lubicz;8:27:37
Rondo Mogilskie;8:31:35
Cystersów;8:34:5
;
08:23 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:23:1
Politechnika;8:25:48
Dworzec Główny Zachód;8:27:8
Dworzec Główny;8:28:24
;
08:16 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:16:1
Plac Inwalidów;8:17:55
Batorego;8:19:13
Teatr Bagatela;8:21:0
Basztowa LOT;8:23:47
Dworzec Główny;8:26:0
Lubicz;8:29:33
Rondo Mogilskie;8:32:47
Cystersów;8:35:17
;
08:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:18:1
Stradom;8:19:13
Wawel;8:23:26
Świętej Gertrudy;8:25:3
Plac Wszystkich Świętych;8:26:31
Filharmonia;8:27:45
Teatr Bagatela;8:30:24
Batorego;8:32:32
Plac Inwalidów;8:33:41
;
08:19 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;8:19:1
Miodowa;8:20:5
Starowiślna;8:22:56
Hala Targowa;8:23:58
Rondo Grzegórzeckie;8:29:2
Rondo Mogilskie;8:33:35
Cystersów;8:36:5
;
08:10 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:10:1
Nowy Kleparz;8:11:10
Pędzichów;8:12:51
Basztowa LOT;8:14:7
Teatr Bagatela;8:17:57
Filharmonia;8:20:31
Plac Wszystkich Świętych;8:23:4
Świętej Gertrudy;8:24:37
Wawel;8:30:2
Stradom;8:31:53
Orzeszkowej;8:34:24
Centrum Kongresowe ICE;8:36:23
;
08:13 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;8:13:1
Rondo Mogilskie;8:17:12
Rondo Grzegórzeckie;8:20:56
Hala Targowa;8:23:12
Starowiślna;8:24:15
Miodowa;8:35:42
Miodowa;8:37:1
;
08:15 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:15:1
Teatr Variete;8:16:24
Rondo Grzegórzeckie;8:18:11
Rondo Mogilskie;8:20:50
Lubicz;8:23:44
Dworzec Główny;8:26:6
Basztowa LOT;8:29:1
Teatr Bagatela;8:32:0
Batorego;8:34:1
Plac Inwalidów;8:35:9
Urzędnicza;8:37:5
;
08:15 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:15:1
Plac Inwalidów;8:16:54
Batorego;8:18:13
Teatr Bagatela;8:19:48
Filharmonia;8:22:42
Plac Wszystkich Świętych;8:24:22
Świętej Gertrudy;8:26:27
Wawel;8:30:54
Stradom;8:34:13
Plac Wolnica;8:37:7
;
08:18 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:18:4
Plac Inwalidów;8:19:57
Batorego;8:21:13
Teatr Bagatela;8:22:51
Filharmonia;8:25:52
Plac Wszystkich Świętych;8:27:35
Świętej Gertrudy;8:29:30
Wawel;8:32:12
Stradom;8:36:12
Plac Wolnica;8:40:4
;
08:15 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;8:15:1
Orzeszkowej;8:16:53
Stradom;8:18:58
Starowiślna;8:33:59
Hala Targowa;8:35:0
Rondo Grzegórzeckie;8:38:23
Teatr Variete;8:39:10
;
08:11 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:11:1
Rondo Mogilskie;8:13:18
Lubicz;8:15:34
Dworzec Główny;8:18:14
Poczta Główna;8:20:50
Starowiślna;8:24:15
Stradom;8:35:4
Orzeszkowej;8:38:39
Centrum Kongresowe ICE;8:40:38
;
08:20 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;8:20:1
Plac Inwalidów;8:21:54
Batorego;8:23:12
Teatr Bagatela;8:25:27
Basztowa LOT;8:28:39
Dworzec Główny;8:30:32
Lubicz;8:33:7
Rondo Mogilskie;8:35:57
Rondo Grzegórzeckie;8:39:35
Teatr Variete;8:40:24
Francesco Nullo;8:41:31
;
08:23 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:23:14
Plac Inwalidów;8:25:9
Batorego;8:26:29
Teatr Bagatela;8:28:48
Filharmonia;8:31:22
Plac Wszystkich Świętych;8:33:3
Świętej Gertrudy;8:35:32
Wawel;8:38:32
;
08:27 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;8:27:2
Dworzec Główny;8:30:30
Basztowa LOT;8:33:41
Teatr Bagatela;8:36:4
Filharmonia;8:39:14
Jubilat;8:42:19
;
08:17 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:17:4
Nowy Kleparz;8:18:14
Pędzichów;8:19:56
Basztowa LOT;8:21:12
Teatr Bagatela;8:24:11
Filharmonia;8:27:13
Plac Wszystkich Świętych;8:29:6
Świętej Gertrudy;8:30:51
Wawel;8:35:35
Stradom;8:39:13
Orzeszkowej;8:40:43
Centrum Kongresowe ICE;8:42:42
;
08:23 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;8:23:1
Rondo Mogilskie;8:25:21
Lubicz;8:27:43
Dworzec Główny;8:32:45
Basztowa LOT;8:35:1
Teatr Bagatela;8:37:27
Batorego;8:39:56
Plac Inwalidów;8:41:6
;
08:20 - 10 (Pleszów - Kurdwanów);
Cystersów;8:20:1
Rondo Mogilskie;8:23:39
Lubicz;8:25:59
Dworzec Główny;8:28:6
Poczta Główna;8:33:33
Świętej Gertrudy;8:39:6
Wawel;8:40:45
;
08:18 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:18:1
Orzeszkowej;8:19:54
Stradom;8:22:49
Wawel;8:29:8
Świętej Gertrudy;8:30:43
Plac Wszystkich Świętych;8:32:11
Filharmonia;8:33:26
Teatr Bagatela;8:35:47
Basztowa LOT;8:38:16
Pędzichów;8:40:7
Nowy Kleparz;8:41:50
Dworzec Towarowy;8:43:51
;
08:21 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:21:1
Stradom;8:22:14
Wawel;8:29:56
Świętej Gertrudy;8:32:9
Plac Wszystkich Świętych;8:33:37
Filharmonia;8:34:50
Teatr Bagatela;8:38:36
Batorego;8:41:8
Plac Inwalidów;8:42:16
;
08:32 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;8:32:1
Filharmonia;8:34:3
Teatr Bagatela;8:37:10
Basztowa LOT;8:40:41
Dworzec Główny;8:43:1
Lubicz;8:45:46
;
08:26 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:26:1
Plac Inwalidów;8:27:58
Batorego;8:29:16
Teatr Bagatela;8:30:51
Filharmonia;8:33:41
Plac Wszystkich Świętych;8:35:36
Świętej Gertrudy;8:40:1
Wawel;8:41:41
Stradom;8:42:48
Plac Wolnica;8:47:10
;
08:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;8:20:1
Miodowa;8:21:4
Starowiślna;8:32:27
Hala Targowa;8:33:29
Rondo Grzegórzeckie;8:36:52
Rondo Mogilskie;8:40:9
Dworzec Główny Tunel;8:43:1
Politechnika;8:44:31
Dworzec Towarowy;8:47:16
;
08:34 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;8:34:6
Rondo Mogilskie;8:37:59
;
08:19 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:19:1
Teatr Variete;8:20:24
Rondo Grzegórzeckie;8:22:27
Hala Targowa;8:24:43
Starowiślna;8:34:44
Poczta Główna;8:42:0
Plac Wszystkich Świętych;8:44:49
Filharmonia;8:46:1
Jubilat;8:48:12
;
08:31 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:31:1
Politechnika;8:33:47
Dworzec Główny Zachód;8:35:4
Dworzec Główny;8:36:12
;
08:23 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;8:23:1
Stradom;8:24:14
Wawel;8:32:27
Poczta Główna;8:38:40
Dworzec Główny;8:41:7
Lubicz;8:43:7
Rondo Mogilskie;8:46:23
Cystersów;8:48:53
;
08:18 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:18:1
Rondo Mogilskie;8:20:19
Lubicz;8:22:37
Dworzec Główny;8:24:41
Poczta Główna;8:27:20
Starowiślna;8:34:26
Stradom;8:42:0
Orzeszkowej;8:47:24
Centrum Kongresowe ICE;8:49:24
;
08:31 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:31:20
Plac Inwalidów;8:33:15
Batorego;8:34:34
Teatr Bagatela;8:36:10
Basztowa LOT;8:39:36
Dworzec Główny;8:41:32
Lubicz;8:44:14
Rondo Mogilskie;8:47:31
Cystersów;8:50:4
;
08:13 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;8:13:1
Politechnika;8:16:31
Dworzec Główny Tunel;8:18:4
Rondo Mogilskie;8:21:37
Rondo Grzegórzeckie;8:25:24
Hala Targowa;8:27:43
Starowiślna;8:39:21
Miodowa;8:50:21
;
08:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:25:1
Stradom;8:29:28
Wawel;8:33:27
Świętej Gertrudy;8:39:6
Plac Wszystkich Świętych;8:42:40
Filharmonia;8:43:56
Teatr Bagatela;8:46:15
Batorego;8:48:25
Plac Inwalidów;8:49:34
Urzędnicza;8:51:30
;
08:30 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:30:1
Teatr Variete;8:31:26
Rondo Grzegórzeckie;8:33:12
Rondo Mogilskie;8:35:55
Lubicz;8:38:47
Dworzec Główny;8:41:4
Basztowa LOT;8:44:17
Teatr Bagatela;8:46:34
Batorego;8:49:13
Plac Inwalidów;8:50:22
Urzędnicza;8:52:17
;
08:21 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:21:1
Orzeszkowej;8:22:55
Stradom;8:29:9
Starowiślna;8:37:43
Poczta Główna;8:40:47
Dworzec Główny;8:44:21
Lubicz;8:47:21
Rondo Mogilskie;8:50:23
Cystersów;8:52:50
;
08:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;8:28:1
Miodowa;8:29:6
Starowiślna;8:36:31
Poczta Główna;8:37:31
Dworzec Główny;8:42:22
Basztowa LOT;8:45:23
Teatr Bagatela;8:49:35
Batorego;8:51:50
Plac Inwalidów;8:52:58
;
08:30 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:30:1
Plac Inwalidów;8:31:56
Batorego;8:33:15
Teatr Bagatela;8:34:51
Filharmonia;8:37:57
Plac Wszystkich Świętych;8:40:30
Świętej Gertrudy;8:43:25
Wawel;8:45:39
Stradom;8:54:14
Plac Wolnica;8:56:9
;
08:25 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:25:1
Nowy Kleparz;8:26:13
Pędzichów;8:27:59
Basztowa LOT;8:29:17
Teatr Bagatela;8:33:26
Filharmonia;8:36:3
Plac Wszystkich Świętych;8:37:48
Świętej Gertrudy;8:41:30
Wawel;8:43:10
Orzeszkowej;8:54:26
Centrum Kongresowe ICE;8:56:25
;
08:38 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:38:1
Politechnika;8:40:44
Dworzec Główny Zachód;8:42:0
Dworzec Główny;8:43:38
;
08:01 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:1:1
Politechnika;8:3:26
Dworzec Główny Zachód;8:4:31
Dworzec Główny;8:5:29
Poczta Główna;8:7:44
;
08:01 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:1:1
Dworzec Główny;8:3:6
Dworzec Główny Zachód;8:4:43
Politechnika;8:5:53
Dworzec Towarowy;8:7:57
;
08:04 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;8:4:1
Rondo Mogilskie;8:6:42
Rondo Grzegórzeckie;8:9:39
;
08:02 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;8:2:1
Filharmonia;8:3:42
Teatr Bagatela;8:5:45
Basztowa LOT;8:7:45
Dworzec Główny;8:9:23
Lubicz;8:11:13
;
08:00 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;8:0:2
Orzeszkowej;8:1:36
Stradom;8:2:30
Starowiślna;8:5:25
Hala Targowa;8:6:19
Rondo Grzegórzeckie;8:10:3
Teatr Variete;8:10:46
;
08:00 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:0:2
Plac Inwalidów;8:1:36
Batorego;8:2:42
Teatr Bagatela;8:4:3
Filharmonia;8:6:16
Plac Wszystkich Świętych;8:7:43
Świętej Gertrudy;8:9:25
Wawel;8:10:48
Stradom;8:11:45
Plac Wolnica;8:13:22
;
08:10 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;8:10:1
Rondo Mogilskie;8:12:41
Cystersów;8:14:43
;
08:08 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:8:1
Politechnika;8:10:27
Dworzec Główny Zachód;8:11:33
Dworzec Główny;8:12:32
Poczta Główna;8:14:58
;
08:08 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:8:1
Dworzec Główny;8:10:7
Dworzec Główny Zachód;8:11:45
Politechnika;8:12:56
Dworzec Towarowy;8:15:1
;
08:01 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:1:1
Plac Inwalidów;8:2:35
Batorego;8:3:41
Teatr Bagatela;8:5:2
Basztowa LOT;8:6:54
Dworzec Główny;8:8:32
Lubicz;8:10:31
Rondo Mogilskie;8:13:14
;
08:03 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:3:1
Stradom;8:4:3
Wawel;8:5:48
Świętej Gertrudy;8:7:9
Plac Wszystkich Świętych;8:8:23
Filharmonia;8:9:26
Teatr Bagatela;8:11:30
Batorego;8:13:13
Plac Inwalidów;8:14:13
Urzędnicza;8:15:48
;
08:04 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:4:1
Teatr Variete;8:5:12
Rondo Grzegórzeckie;8:6:48
Hala Targowa;8:8:41
Starowiślna;8:9:35
Poczta Główna;8:11:11
Plac Wszystkich Świętych;8:13:17
Filharmonia;8:14:21
Jubilat;8:16:3
;
08:04 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;8:4:1
Miodowa;8:4:57
Starowiślna;8:6:57
Hala Targowa;8:7:51
Rondo Grzegórzeckie;8:11:21
Rondo Mogilskie;8:14:22
;
08:00 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;8:0:2
Teatr Variete;8:1:13
Rondo Grzegórzeckie;8:2:38
Rondo Mogilskie;8:4:45
Lubicz;8:6:42
Dworzec Główny;8:8:19
Basztowa LOT;8:10:0
Teatr Bagatela;8:12:6
Batorego;8:14:3
Plac Inwalidów;8:15:2
Urzędnicza;8:16:36
;
08:03 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:3:1
Plac Inwalidów;8:4:35
Batorego;8:5:41
Teatr Bagatela;8:7:2
Filharmonia;8:9:17
Plac Wszystkich Świętych;8:11:7
Świętej Gertrudy;8:12:33
Wawel;8:13:57
Stradom;8:14:54
Plac Wolnica;8:16:39
;
08:03 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:3:1
Rondo Mogilskie;8:4:55
Lubicz;8:7:12
Dworzec Główny;8:8:56
Poczta Główna;8:11:10
Starowiślna;8:12:36
Stradom;8:14:31
Orzeszkowej;8:15:59
Centrum Kongresowe ICE;8:17:41
;
08:06 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:6:1
Filharmonia;8:7:42
Plac Wszystkich Świętych;8:9:4
Poczta Główna;8:10:31
Starowiślna;8:12:38
Hala Targowa;8:13:32
Rondo Grzegórzeckie;8:16:35
Teatr Variete;8:17:20
;
08:06 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:6:1
Stradom;8:7:3
Wawel;8:8:50
Świętej Gertrudy;8:10:12
Plac Wszystkich Świętych;8:11:25
Filharmonia;8:12:29
Teatr Bagatela;8:14:33
Batorego;8:16:18
Plac Inwalidów;8:17:20
Urzędnicza;8:18:56
;
08:02 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:2:1
Nowy Kleparz;8:3:1
Pędzichów;8:4:27
Basztowa LOT;8:5:32
Teatr Bagatela;8:7:23
Filharmonia;8:10:18
Plac Wszystkich Świętych;8:11:47
Świętej Gertrudy;8:13:40
Wawel;8:15:3
Stradom;8:16:1
Orzeszkowej;8:17:43
Centrum Kongresowe ICE;8:19:21
;
08:03 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:3:1
Orzeszkowej;8:4:35
Stradom;8:5:29
Wawel;8:6:56
Świętej Gertrudy;8:8:19
Plac Wszystkich Świętych;8:9:29
Filharmonia;8:10:31
Teatr Bagatela;8:12:56
Basztowa LOT;8:14:58
Pędzichów;8:16:29
Nowy Kleparz;8:17:56
Dworzec Towarowy;8:19:38
;
08:08 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;8:8:1
Teatr Variete;8:9:12
Rondo Grzegórzeckie;8:10:50
Hala Targowa;8:12:43
Starowiślna;8:13:38
Stradom;8:15:53
Orzeszkowej;8:18:12
;
08:07 - 24 (Bronowice - Kurdwanów);
Urzędnicza;8:7:1
Plac Inwalidów;8:8:37
Batorego;8:9:44
Teatr Bagatela;8:11:5
Basztowa LOT;8:12:59
Dworzec Główny;8:14:36
Poczta Główna;8:17:18
Starowiślna;8:18:51
Miodowa;8:20:25
;
08:05 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;8:5:1
Miodowa;8:5:57
Starowiślna;8:7:59
Hala Targowa;8:8:52
Rondo Grzegórzeckie;8:12:7
Rondo Mogilskie;8:14:48
Dworzec Główny Tunel;8:17:14
Politechnika;8:18:30
Dworzec Towarowy;8:20:51
;
08:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:6:1
Orzeszkowej;8:7:35
Stradom;8:8:31
Starowiślna;8:11:27
Poczta Główna;8:12:21
Dworzec Główny;8:14:20
Lubicz;8:16:28
Rondo Mogilskie;8:19:4
Cystersów;8:21:11
;
08:08 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:8:1
Plac Inwalidów;8:9:35
Batorego;8:10:42
Teatr Bagatela;8:12:5
Filharmonia;8:14:19
Plac Wszystkich Świętych;8:16:2
Świętej Gertrudy;8:17:30
Wawel;8:18:55
Stradom;8:19:55
Plac Wolnica;8:21:32
;
08:05 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;8:5:1
Plac Inwalidów;8:6:35
Batorego;8:7:41
Teatr Bagatela;8:9:4
Basztowa LOT;8:10:57
Dworzec Główny;8:12:35
Lubicz;8:14:16
Rondo Mogilskie;8:16:53
Rondo Grzegórzeckie;8:19:56
Teatr Variete;8:20:39
Francesco Nullo;8:21:35
;
08:08 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;8:8:1
Rondo Mogilskie;8:9:56
Lubicz;8:12:2
Dworzec Główny;8:13:42
Basztowa LOT;8:15:26
Teatr Bagatela;8:17:37
Batorego;8:19:18
Plac Inwalidów;8:20:19
Urzędnicza;8:21:57
;
08:08 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;8:8:1
Stradom;8:9:3
Wawel;8:10:49
Poczta Główna;8:13:14
Dworzec Główny;8:15:22
Lubicz;8:17:15
Rondo Mogilskie;8:19:54
Cystersów;8:22:3
;
08:12 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;8:12:1
Dworzec Główny;8:14:15
Basztowa LOT;8:16:1
Teatr Bagatela;8:18:10
Filharmonia;8:20:27
Jubilat;8:22:15
;
08:16 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:16:1
Politechnika;8:18:32
Dworzec Główny Zachód;8:19:40
Dworzec Główny;8:20:40
Poczta Główna;8:23:2
;
08:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:10:1
Stradom;8:11:3
Wawel;8:12:50
Świętej Gertrudy;8:14:12
Plac Wszystkich Świętych;8:15:27
Filharmonia;8:16:33
Teatr Bagatela;8:18:40
Batorego;8:20:27
Plac Inwalidów;8:21:28
Urzędnicza;8:23:6
;
08:16 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;8:16:1
Dworzec Główny;8:18:11
Dworzec Główny Zachód;8:19:52
Politechnika;8:21:5
Dworzec Towarowy;8:23:16
;
08:13 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;8:13:1
Rondo Mogilskie;8:15:47
Rondo Grzegórzeckie;8:19:1
Hala Targowa;8:20:57
Starowiślna;8:21:55
Miodowa;8:23:44
;
08:12 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:12:1
Teatr Variete;8:13:12
Rondo Grzegórzeckie;8:14:50
Hala Targowa;8:16:49
Starowiślna;8:17:44
Poczta Główna;8:19:23
Plac Wszystkich Świętych;8:21:14
Filharmonia;8:22:21
Jubilat;8:24:2
;
08:11 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;8:11:1
Plac Inwalidów;8:12:37
Batorego;8:13:44
Teatr Bagatela;8:15:8
Filharmonia;8:17:27
Plac Wszystkich Świętych;8:18:57
Świętej Gertrudy;8:20:24
Wawel;8:21:52
Stradom;8:22:51
Plac Wolnica;8:24:57
;
08:11 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;8:11:1
Rondo Mogilskie;8:12:57
Lubicz;8:15:5
Dworzec Główny;8:16:50
Poczta Główna;8:18:54
Starowiślna;8:20:22
Stradom;8:22:37
Orzeszkowej;8:24:10
;
08:17 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;8:17:1
Filharmonia;8:18:44
Teatr Bagatela;8:20:57
Basztowa LOT;8:23:22
Dworzec Główny;8:25:1
Lubicz;8:26:43
;
08:10 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;8:10:1
Nowy Kleparz;8:11:1
Pędzichów;8:12:29
Basztowa LOT;8:13:35
Teatr Bagatela;8:15:29
Filharmonia;8:18:7
Plac Wszystkich Świętych;8:19:45
Świętej Gertrudy;8:21:12
Wawel;8:22:38
Orzeszkowej;8:25:25
Centrum Kongresowe ICE;8:27:3
;
08:10 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;8:10:1
Orzeszkowej;8:11:36
Stradom;8:12:31
Wawel;8:13:59
Świętej Gertrudy;8:15:23
Plac Wszystkich Świętych;8:16:37
Filharmonia;8:17:40
Teatr Bagatela;8:20:10
Basztowa LOT;8:22:45
Pędzichów;8:24:16
Nowy Kleparz;8:25:42
;
08:14 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;8:14:1
Stradom;8:15:6
Wawel;8:17:2
Świętej Gertrudy;8:18:25
Plac Wszystkich Świętych;8:19:40
Filharmonia;8:20:45
Teatr Bagatela;8:22:59
Batorego;8:24:53
Plac Inwalidów;8:25:54
Urzędnicza;8:27:30
;
08:13 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;8:13:1
Miodowa;8:13:58
Starowiślna;8:16:8
Poczta Główna;8:17:4
Dworzec Główny;8:19:5
Basztowa LOT;8:20:47
Teatr Bagatela;8:23:9
Batorego;8:25:18
Plac Inwalidów;8:26:22
Urzędnicza;8:28:0
;
08:13 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;8:13:1
Politechnika;8:16:1
Dworzec Główny Tunel;8:17:22
Rondo Mogilskie;8:20:35
Rondo Grzegórzeckie;8:23:43
Hala Targowa;8:25:37
Starowiślna;8:26:33
Miodowa;8:28:20
;
08:13 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;8:13:1
Orzeszkowej;8:14:36
Stradom;8:15:34
Starowiślna;8:19:12
Poczta Główna;8:20:8
Dworzec Główny;8:22:13
Lubicz;8:23:52
Rondo Mogilskie;8:26:26
Cystersów;8:28:34
;
08:15 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;8:15:2
Plac Inwalidów;8:16:42
Batorego;8:17:49
Teatr Bagatela;8:19:12
Filharmonia;8:21:31
Plac Wszystkich Świętych;8:23:3
Świętej Gertrudy;8:24:41
Wawel;8:26:6
Stradom;8:27:4
Plac Wolnica;8:28:43
;
08:19 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;8:19:1
Rondo Mogilskie;8:21:50
Rondo Grzegórzeckie;8:29:8
;
08:15 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;8:15:2
Orzeszkowej;8:16:42
Stradom;8:17:36
Starowiślna;8:20:49
Hala Targowa;8:21:47
Rondo Grzegórzeckie;8:27:46
Teatr Variete;8:28:31
Francesco Nullo;8:29:29
;
08:13 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;8:13:1
Filharmonia;8:14:44
Plac Wszystkich Świętych;8:16:31
Poczta Główna;8:18:0
Starowiślna;8:20:22
Hala Targowa;8:21:18
Rondo Grzegórzeckie;8:28:13
Teatr Variete;8:28:59
Francesco Nullo;8:29:56
;
08:23 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;8:23:1
Politechnika;8:25:32
Dworzec Główny Zachód;8:26:38
Dworzec Główny;8:27:40
Poczta Główna;8:30:18
;
08:16 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;8:16:1
Plac Inwalidów;8:17:39
Batorego;8:18:47
Teatr Bagatela;8:20:12
Basztowa LOT;8:22:11
Dworzec Główny;8:23:52
Lubicz;8:25:56
Rondo Mogilskie;8:28:36
;
08:19 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;8:19:1
Teatr Variete;8:20:15
Rondo Grzegórzeckie;8:21:56
Hala Targowa;8:23:54
Starowiślna;8:24:49
Poczta Główna;8:26:27
Plac Wszystkich Świętych;8:28:18
Filharmonia;8:29:24
Jubilat;8:31:7
;
08:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;8:18:1
Stradom;8:19:5
Wawel;8:20:55
Świętej Gertrudy;8:22:22
Plac Wszystkich Świętych;8:23:37
Filharmonia;8:24:42
Teatr Bagatela;8:26:48
Batorego;8:28:36
Plac Inwalidów;8:29:37
Urzędnicza;8:31:13
;
