05:05 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:5:1
Rondo Mogilskie;5:7:21
Lubicz;5:10:22
Dworzec Główny;5:12:24
Poczta Główna;5:15:57
Starowiślna;5:18:5
Stradom;5:20:46
Orzeszkowej;5:22:18
Centrum Kongresowe ICE;5:24:18
;
05:06 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:6:2
Miodowa;5:7:7
Starowiślna;5:9:33
Hala Targowa;5:10:34
Rondo Grzegórzeckie;5:13:59
Rondo Mogilskie;5:17:26
Dworzec Główny Tunel;5:20:18
Politechnika;5:21:46
Dworzec Towarowy;5:24:33
;
05:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:10:1
Stradom;5:11:13
Wawel;5:13:22
Świętej Gertrudy;5:14:58
Plac Wszystkich Świętych;5:16:38
Filharmonia;5:17:49
Teatr Bagatela;5:20:15
Batorego;5:22:18
Plac Inwalidów;5:23:27
;
05:13 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;5:13:1
Dworzec Główny;5:15:6
Basztowa LOT;5:17:13
Teatr Bagatela;5:20:28
Filharmonia;5:23:41
Jubilat;5:25:55
;
05:11 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:11:2
Filharmonia;5:13:2
Plac Wszystkich Świętych;5:14:42
Poczta Główna;5:16:28
Starowiślna;5:20:21
Hala Targowa;5:21:21
Rondo Grzegórzeckie;5:24:49
Teatr Variete;5:25:37
;
05:13 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:13:1
Teatr Variete;5:14:24
Rondo Grzegórzeckie;5:16:25
Hala Targowa;5:18:38
Starowiślna;5:19:43
Poczta Główna;5:22:13
Plac Wszystkich Świętych;5:24:50
Filharmonia;5:26:3
Jubilat;5:28:14
;
05:22 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;5:22:1
Rondo Mogilskie;5:25:51
;
05:21 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:21:1
Politechnika;5:23:43
Dworzec Główny Zachód;5:25:2
Dworzec Główny;5:26:9
Poczta Główna;5:28:46
;
05:13 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;5:13:1
Stradom;5:14:11
Wawel;5:16:22
Świętej Gertrudy;5:17:57
Plac Wszystkich Świętych;5:19:54
Filharmonia;5:21:5
Teatr Bagatela;5:23:29
Batorego;5:25:52
Plac Inwalidów;5:27:1
Urzędnicza;5:28:57
;
05:21 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;5:21:1
Dworzec Główny;5:23:28
Dworzec Główny Zachód;5:25:58
Politechnika;5:27:19
Dworzec Towarowy;5:29:47
;
05:21 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:21:1
Filharmonia;5:23:1
Teatr Bagatela;5:25:29
Basztowa LOT;5:27:57
Dworzec Główny;5:29:52
Lubicz;5:31:49
;
05:13 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;5:13:1
Nowy Kleparz;5:14:9
Pędzichów;5:15:51
Basztowa LOT;5:17:8
Teatr Bagatela;5:19:30
Filharmonia;5:21:52
Plac Wszystkich Świętych;5:23:34
Świętej Gertrudy;5:25:8
Wawel;5:26:47
Stradom;5:27:52
Orzeszkowej;5:30:10
Centrum Kongresowe ICE;5:32:9
;
05:13 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:13:20
Politechnika;5:16:51
Dworzec Główny Tunel;5:18:21
Rondo Mogilskie;5:22:47
Rondo Grzegórzeckie;5:26:31
Hala Targowa;5:28:45
Starowiślna;5:29:47
Miodowa;5:31:55
Miodowa;5:33:14
;
05:18 - 10 (Pleszów - Kurdwanów);
Cystersów;5:18:2
Rondo Mogilskie;5:20:20
Lubicz;5:22:35
Dworzec Główny;5:24:40
Poczta Główna;5:27:15
Świętej Gertrudy;5:28:47
Wawel;5:30:24
Stradom;5:31:29
;
05:20 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:20:1
Miodowa;5:21:4
Starowiślna;5:23:30
Hala Targowa;5:24:34
Rondo Grzegórzeckie;5:28:16
Rondo Mogilskie;5:31:38
Cystersów;5:34:9
;
05:17 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;5:17:1
Stradom;5:18:12
Wawel;5:21:21
Poczta Główna;5:23:43
Dworzec Główny;5:26:2
Lubicz;5:28:46
Rondo Mogilskie;5:32:24
;
05:15 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:15:1
Orzeszkowej;5:16:53
Stradom;5:17:54
Wawel;5:19:45
Świętej Gertrudy;5:21:19
Plac Wszystkich Świętych;5:22:46
Filharmonia;5:24:17
Teatr Bagatela;5:27:2
Basztowa LOT;5:29:30
Pędzichów;5:31:15
Nowy Kleparz;5:32:57
Dworzec Towarowy;5:34:58
;
05:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:18:2
Stradom;5:20:14
Wawel;5:22:52
Świętej Gertrudy;5:24:47
Plac Wszystkich Świętych;5:26:11
Filharmonia;5:27:24
Teatr Bagatela;5:30:11
Batorego;5:32:15
Plac Inwalidów;5:33:23
;
05:14 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;5:14:1
Plac Inwalidów;5:15:54
Batorego;5:17:11
Teatr Bagatela;5:18:46
Basztowa LOT;5:21:14
Dworzec Główny;5:23:8
Lubicz;5:25:16
Rondo Mogilskie;5:28:22
Rondo Grzegórzeckie;5:33:46
Teatr Variete;5:34:33
Francesco Nullo;5:35:39
;
05:18 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;5:18:2
Plac Inwalidów;5:19:56
Batorego;5:21:12
Teatr Bagatela;5:22:46
Basztowa LOT;5:25:17
Dworzec Główny;5:27:48
Lubicz;5:30:10
Rondo Mogilskie;5:33:31
Cystersów;5:36:1
;
05:20 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;5:20:1
Plac Inwalidów;5:21:52
Batorego;5:23:10
Teatr Bagatela;5:24:47
Filharmonia;5:27:31
Plac Wszystkich Świętych;5:29:53
Świętej Gertrudy;5:33:13
Wawel;5:34:51
Stradom;5:36:0
;
05:22 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:22:1
Rondo Mogilskie;5:24:21
Lubicz;5:26:38
Dworzec Główny;5:28:40
Basztowa LOT;5:30:55
Teatr Bagatela;5:33:17
Batorego;5:35:21
Plac Inwalidów;5:36:31
;
05:24 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;5:24:19
Orzeszkowej;5:26:12
Stradom;5:27:46
Starowiślna;5:32:25
Hala Targowa;5:33:26
Rondo Grzegórzeckie;5:36:56
Teatr Variete;5:37:43
;
05:22 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:22:23
Orzeszkowej;5:24:16
Stradom;5:25:19
